指數代碼,指數名稱,日期,價格指數值,報酬指數值,漲跌點數,漲跌百分比
IR0184,臺灣優選成長高股息報酬指數,2026/03/31,8433.17,9839.63,-261.13,-2.59%
IR0194,臺灣創新科技50報酬指數,2026/04/02,13495.84,14881.27,-321.05,-2.11%
IR0194,臺灣創新科技50報酬指數,2026/04/01,13787.38,15202.32,773.6,5.36%
IR0194,臺灣創新科技50報酬指數,2026/03/31,13085.78,14428.72,-632.29,-4.2%
IR0200,特選上櫃ESG龍頭報酬指數,2026/04/02,9011.05,9742.14,-268.82,-2.69%
IR0200,特選上櫃ESG龍頭報酬指數,2026/04/01,9259.69,10010.96,595.05,6.32%
IR0200,特選上櫃ESG龍頭報酬指數,2026/03/31,8709.3,9415.91,-501.07,-5.05%
IR0213,特選臺灣精英科技股息報酬指數,2026/04/02,6035.19,6706.37,-86.13,-1.27%
IR0213,特選臺灣精英科技股息報酬指數,2026/04/01,6112.7,6792.5,201.5,3.06%
IR0213,特選臺灣精英科技股息報酬指數,2026/03/31,5931.37,6591,-214.88,-3.16%
IX0103,臺灣生技指數,2026/04/02,3423.47,3981.3,-8.11,-0.24%
IX0103,臺灣生技指數,2026/04/01,3431.58,3990.74,140.63,4.27%
IX0103,臺灣生技指數,2026/03/31,3290.95,3827.19,-15.86,-0.48%
IX0104,特選高息低波指數,2026/04/02,10223.76,16432.62,-27.22,-0.27%
IX0104,特選高息低波指數,2026/04/01,10250.98,16476.37,188.62,1.87%
IX0104,特選高息低波指數,2026/03/31,10062.36,16173.21,-90.79,-0.89%
IX0108,臺灣中小型公司治理指數,2026/04/02,14462.42,20998.85,-319.2,-2.16%
IX0108,臺灣中小型公司治理指數,2026/04/01,14781.62,21462.32,806.1,5.77%
IX0108,臺灣中小型公司治理指數,2026/03/31,13975.52,20291.88,-745.03,-5.06%
IX0109,臺灣IPO指數,2026/04/02,6848.86,8477.25,-56.5,-0.82%
IX0109,臺灣IPO指數,2026/04/01,6905.36,8545.83,398.03,6.12%
IX0109,臺灣IPO指數,2026/03/31,6507.33,8045.74,-142.14,-2.14%
IX0114,中小型300指數,2026/04/02,13861.22,17841.31,-151.39,-1.08%
